iteration,gene,position,fitness
13,[78, 41, 62, 50],[[687, 824], [849, 1036], [1014, 1057], [1489, 958]],[243.76666666666668, 1673.1986666666664]
13,[9, 41, 31, 17],[[467, 1066], [849, 1036], [1274, 1023], [1429, 1062]],[248.83333333333334, 1706.1313333333337]
13,[23, 41, 88, 10],[[587, 997], [849, 1036], [1374, 988], [1349, 993]],[266.96666666666664, 1719.1483333333335]
13,[23, 39, 18, 53],[[587, 997], [849, 898], [1114, 954], [1529, 958]],[270.41379310344826, 1811.1065517241375]
13,[9, 88, 18, 49],[[467, 1066], [749, 863], [1114, 954], [1449, 1096]],[9.99999999E8, 9.99999999E8]
13,[50, 68, 68, 42],[[407, 1031], [589, 932], [1094, 1057], [1369, 1027]],[9.99999999E8, 9.99999999E8]
13,[60, 73, 18, 31],[[527, 893], [629, 932], [1114, 954], [1209, 1096]],[9.99999999E8, 9.99999999E8]
14,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
14,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[235.7, 1626.567333333333]
14,[77, 41, 18, 26],[[647, 1100], [849, 1036], [1114, 954], [1549, 924]],[236.83333333333334, 1694.2706666666666]
14,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.66666666666666, 1639.8263333333332]
14,[9, 41, 18, 18],[[467, 1066], [849, 1036], [1114, 954], [1429, 1131]],[239.93333333333334, 1663.36]
14,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[243.0, 1650.0443333333335]
14,[78, 41, 18, 50],[[687, 824], [849, 1036], [1114, 954], [1489, 958]],[245.86666666666667, 1682.015333333333]
14,[9, 28, 18, 48],[[467, 1066], [729, 1036], [1114, 954], [1449, 1027]],[253.23333333333332, 1674.5143333333333]
14,[9, 41, 94, 44],[[467, 1066], [849, 1036], [1454, 988], [1409, 958]],[255.8, 1714.0956666666668]
14,[9, 68, 18, 44],[[467, 1066], [589, 932], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
14,[9, 58, 18, 44],[[467, 1066], [509, 794], [1114, 954], [1409, 958]],[9.99999999E8, 9.99999999E8]
14,[9, 84, 18, 52],[[467, 1066], [709, 1001], [1114, 954], [1489, 1096]],[9.99999999E8, 9.99999999E8]
14,[41, 15, 60, 24],[[747, 928], [649, 829], [974, 1126], [1509, 1062]],[9.99999999E8, 9.99999999E8]
15,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[232.7, 1623.757]
15,[58, 41, 18, 44],[[487, 1031], [849, 1036], [1114, 954], [1409, 958]],[238.96666666666667, 1633.756666666667]
15,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[238.36666666666667, 1642.4823333333334]
15,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[237.63333333333333, 1643.109666666667]
15,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[243.6, 1634.46]
15,[30, 41, 55, 44],[[627, 1135], [849, 1036], [934, 988], [1409, 958]],[237.73333333333332, 1652.9893333333334]
15,[41, 41, 18, 44],[[747, 928], [849, 1036], [1114, 954], [1409, 958]],[247.33333333333334, 1648.3459999999998]
15,[9, 41, 18, 44],[[467, 1066], [849, 1036], [1114, 954], [1409, 958]],[242.36666666666667, 1653.6856666666667]
15,[9, 41, 73, 18],[[467, 1066], [849, 1036], [1174, 988], [1429, 1131]],[247.9655172413793, 1673.0044827586212]
15,[22, 41, 20, 44],[[587, 928], [849, 1036], [1114, 1092], [1409, 958]],[243.46666666666667, 1673.2673333333335]
15,[9, 89, 18, 18],[[467, 1066], [749, 932], [1114, 954], [1429, 1131]],[253.20689655172413, 1712.1037931034482]
15,[78, 41, 60, 18],[[687, 824], [849, 1036], [974, 1126], [1429, 1131]],[9.99999999E8, 9.99999999E8]
15,[9, 28, 18, 48],[[467, 1066], [729, 1036], [1114, 954], [1449, 1027]],[9.99999999E8, 9.99999999E8]
